MMV,Make,Model,Variant,Type,Fuel Type,Age,Transmission,Color,Kms,No of Owner,Heath score,price score,on road price,Current Price,Dep
Maruti SuzukiWagon RVXI,Maruti Suzuki,Wagon R,VXI,Hatchback,Petrol,3,Manual,Brown,"9,042",1,9.9,5.7,505259,403200,20.2
Maruti SuzukiAlto K10VXi,Maruti Suzuki,Alto K10,VXi,Hatchback,Petrol,7,Manual,White,"49,787",1,5,9.4,436340,145200,66.7
Maruti SuzukiAltoLXI,Maruti Suzuki,Alto,LXI,Hatchback,Petrol,9,Manual,Blue,"59,000",1,4.5,9.9,336331,101200,69.9
Maruti SuzukiSx4VdiBs-iv,Maruti Suzuki,Sx4,VdiBs-iv,Sedan,Diesel,8,Manual,Beige,"84,000",1,4.5,8.2,795694,220000,72.4
Maruti SuzukiSwiftLXi,Maruti Suzuki,Swift,LXi,Hatchback,Petrol,9,Manual,Black,"47,385",1,6.8,9.9,463670,184800,60.1
Maruti SuzukiAltoLXi BS-IV,Maruti Suzuki,Alto,LXi BS-IV,Hatchback,Petrol,7,Manual,Silver,"13,000",1,5,6.1,342090,154000,55.0
Maruti SuzukiSwiftVDi,Maruti Suzuki,Swift,VDi,Hatchback,Diesel,11,Manual,Maroon,"65,000",1,5,8.8,806541,176000,78.2
Maruti SuzukiAlto 800LXI CNG,Maruti Suzuki,Alto 800,LXI CNG,Hatchback,Petrol + CNG,4,Manual,Black,"44,577",1,6,4.6,431012,301648,30.0
Maruti SuzukiWagon RLxiBs-iv,Maruti Suzuki,Wagon R,LxiBs-iv,Hatchback,Petrol,6,Manual,White,"25,000",1,8.5,7.7,476354,218985,54.0
Maruti SuzukiWagon RLxiCng,Maruti Suzuki,Wagon R,LxiCng,Hatchback,Petrol + CNG,10,Manual,Maroon,"49,000",1,5,9.1,514112,123200,76.0
Maruti SuzukiSwift DzireZXi 1.2 BS-IV,Maruti Suzuki,Swift Dzire,ZXi 1.2 BS-IV,Sedan,Petrol,3,Manual,White,"51,298",1,4.4,7.3,761516,520950,31.6
Maruti SuzukiErtigaZDi,Maruti Suzuki,Ertiga,ZDi,MUV,Diesel,5,Manual,Beige,"67,000",1,8.5,4.8,1031250,640228,37.9
Maruti SuzukiSwiftZDi,Maruti Suzuki,Swift,ZDi,Hatchback,Diesel,4,Manual,White,"74,000",1,4.2,7.7,879273,501942,42.9
